Sa=0.4g,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20
IDR1,0.0120575,0.014850944,0.00693061,0.015138422,0.011932378,0.014850944,0.0099287,0.010526122,0.013632767,0.018471856,0.009621056,0.008425622,0.0132342,0.014168978,0.007814156,0.009309833,0.010553222,0.012003422,0.024297844,0.007766289
IDR2,0.011164385,0.015365321,0.007857878,0.013973705,0.012889026,0.015365321,0.008956179,0.009807795,0.012320564,0.016871385,0.009729051,0.00843394,0.013108372,0.013943436,0.007743308,0.011185718,0.00891741,0.01065409,0.020975872,0.007143
IDR3,0.006490615,0.011483462,0.008731872,0.009819128,0.012578064,0.011483462,0.005591058,0.005786987,0.007114923,0.009053154,0.008789195,0.0052645,0.011246833,0.008983897,0.00519459,0.009468808,0.006019436,0.006553808,0.010032628,0.006514628
IDR4,0.002961833,0.005409,0.006098179,0.005342718,0.007803526,0.005409,0.003572808,0.002789782,0.003899987,0.004158115,0.006415731,0.003395795,0.009833603,0.003938372,0.003353756,0.005603538,0.00367909,0.004430321,0.003611641,0.004566808
RIDR1,0.002648074,0.004910973,0.000918163,0.000849183,0.003246708,0.004910973,0.001924388,0.000992996,0.001765067,0.004614146,0.000948078,0.001052859,0.003406056,0.003493447,0.000728515,0.001007761,0.002364787,0.001794053,0.009431194,0.000216079
RIDR2,0.002080299,0.004713628,0.000846425,0.000991874,0.002991075,0.004713628,0.001538575,0.00071368,0.001465685,0.003873461,0.00096767,0.000921292,0.003100368,0.002997926,0.000606069,0.001033765,0.001694149,0.001449096,0.007952284,4.20E-05
RIDR3,0.000871222,0.003293472,0.000601498,0.001274147,0.002246412,0.003293472,0.000541335,0.000255388,0.000691501,0.00163557,0.001045604,0.000296414,0.002749548,0.001731703,0.000242211,0.000886719,0.000594426,0.000304332,0.002883692,0.000155536
RIDR4,0.000159192,0.000850249,0.000225745,0.000489303,0.001299442,0.000850249,9.02E-05,4.81E-05,0.000174128,0.000238034,0.000624083,9.37E-05,0.0022799,0.00030252,5.68E-05,0.000293549,0.000169775,7.12E-05,0.000469974,1.27E-05
PFA1,0.187576343,0.444189214,0.663971437,0.950636699,0.542605476,0.444189214,0.419159414,0.230560621,0.359605225,0.567907594,0.705664899,0.516668323,0.787464588,0.294832449,0.295606122,0.230330384,0.183203105,0.584882694,0.190311501,0.423112906
PFA2,0.234541685,0.563519679,0.615437066,1.074691338,0.791049709,0.563519679,0.390233557,0.238332607,0.462521306,0.664126013,0.848012225,0.576079498,0.719055906,0.328626487,0.367489046,0.478620958,0.366796544,0.896332504,0.289189492,0.872561674
PFA3,0.226072362,0.441343239,0.46113401,1.334913905,0.81789589,0.441343239,0.415060586,0.237026586,0.422490892,0.662985408,0.645765184,0.516433225,0.704531183,0.327312979,0.313801678,0.406328763,0.360265643,0.591430043,0.281639537,0.688785795
PFA4,0.239209225,0.394619991,0.397345931,1.009967736,0.470509593,0.394619991,0.256856326,0.260486662,0.327190371,0.501675555,0.425494998,0.450998739,0.451540807,0.301679842,0.279191966,0.31444098,0.272746513,0.537189506,0.290424011,0.38385861
PFA5,0.323303234,0.513275884,0.567979332,0.7567244,0.835152598,0.513275884,0.431875612,0.278102856,0.476478423,0.610647277,0.576627832,0.631600706,0.714856737,0.414189042,0.426844146,0.478798174,0.410962666,0.79593661,0.354099063,0.668517657
