Sa=0.1g,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20
IDR1,0.00285746,0.002325722,0.002306894,0.002855414,0.003954646,0.002325722,0.002468783,0.003064157,0.002174061,0.002913869,0.003979136,0.002318975,0.003521227,0.003322616,0.002971753,0.003201303,0.002116505,0.003229455,0.003438283,0.002769909
IDR2,0.003120763,0.002335309,0.002420938,0.003011066,0.004241562,0.002335309,0.00250127,0.00334398,0.002324143,0.002798217,0.004005017,0.002387168,0.003921428,0.003588228,0.00319454,0.003680973,0.002319097,0.003325746,0.003567762,0.002636515
IDR3,0.002449883,0.002020903,0.002579196,0.002291638,0.003429138,0.002020903,0.002501678,0.002657692,0.002115985,0.002777867,0.003047203,0.001805326,0.003256235,0.003011713,0.002699184,0.003034615,0.002180868,0.002854837,0.00261824,0.002480676
IDR4,0.00148549,0.001306876,0.001996096,0.001715897,0.002139744,0.001306876,0.001853904,0.00160979,0.001427273,0.002050524,0.001978409,0.001126002,0.002047436,0.001904662,0.001763345,0.001884207,0.001552506,0.001854953,0.001589044,0.00182704
RIDR1,8.16E-06,1.80E-05,1.01E-05,2.05E-05,8.10E-05,1.80E-05,9.23E-07,8.39E-07,1.37E-05,1.97E-05,5.23E-05,7.99E-05,1.14E-05,3.62E-05,6.46E-06,4.80E-06,6.71E-05,8.29E-05,1.82E-05,1.02E-06
RIDR2,4.21E-06,2.47E-05,7.85E-06,1.96E-05,9.63E-05,2.47E-05,2.73E-06,4.82E-06,1.13E-05,1.57E-05,4.10E-05,0.00016961,2.64E-06,3.25E-05,4.34E-06,2.94E-07,7.72E-05,8.88E-05,1.92E-05,3.40E-05
RIDR3,2.94E-06,1.49E-05,4.55E-06,1.10E-05,3.82E-05,1.49E-05,3.44E-06,6.32E-06,6.92E-06,5.62E-06,2.30E-05,0.000141142,2.03E-06,2.05E-05,3.54E-06,4.53E-06,6.15E-05,7.37E-05,1.53E-05,4.80E-05
RIDR4,7.46E-06,1.06E-05,1.30E-05,1.54E-05,7.05E-06,1.06E-05,8.33E-06,6.11E-06,1.45E-05,7.41E-06,2.00E-05,8.27E-05,1.07E-05,2.07E-05,7.82E-06,7.25E-06,4.70E-05,4.57E-05,1.97E-05,6.38E-05
PFA1,0.046907882,0.111046558,0.165984879,0.237645143,0.135646616,0.111046558,0.104771664,0.05763086,0.089906275,0.141984509,0.17642422,0.129174135,0.196845342,0.073699599,0.073902559,0.057570755,0.045811964,0.146213846,0.047581402,0.1057771
PFA2,0.057892402,0.142393077,0.162184846,0.279258942,0.231391859,0.142393077,0.13025757,0.076365421,0.1342539,0.290981596,0.250120421,0.144109062,0.184639057,0.111382176,0.116128084,0.105140631,0.097673388,0.22509769,0.081869262,0.226623695
PFA3,0.083592046,0.136068024,0.14065779,0.383265624,0.219400332,0.136068024,0.160496371,0.104573274,0.143346426,0.248583211,0.191057161,0.129126049,0.185889763,0.121604495,0.12650335,0.112717603,0.105369608,0.195460955,0.1240642,0.208359061
PFA4,0.117774779,0.095731089,0.130890274,0.248120697,0.178068597,0.095731089,0.10589039,0.12385145,0.096473225,0.139719575,0.184792524,0.116494827,0.153909852,0.136550939,0.125725974,0.139218549,0.09734801,0.196088801,0.139295326,0.12090804
PFA5,0.145508439,0.15213886,0.263964331,0.238766036,0.280607933,0.15213886,0.199523461,0.158633214,0.147860988,0.197993882,0.227311962,0.159716719,0.23551361,0.191076536,0.182338577,0.189821902,0.173992547,0.244276629,0.164030881,0.24951815
